ingredient,calories_kcal,protein_g,fat_g,carbs_g,fiber_g,sugar_g,calcium_mg,iron_mg,sodium_mg,potassium_mg,vitamin_c_mg,cholesterol_mg
Abalone,14.7,1.84,0.38,0.85,0.0,0.0,3.4,0.35,44.6,26.7,0.19,8.95
Abiyuch,6.9,0.15,0.01,1.76,0.53,0.86,0.8,0.16,2.0,30.4,5.41,0.0
Acerola,3.2,0.04,0.03,0.77,0.11,0.0,1.2,0.02,0.7,14.6,167.76,0.0
Acerola Juice,2.3,0.04,0.03,0.48,0.03,0.45,1.0,0.05,0.3,9.7,160.0,0.0
Acorn Flour,50.1,0.75,3.02,5.46,0.0,0.0,4.3,0.12,0.0,71.2,0.0,0.0
Acorns,44.8,0.71,2.76,4.72,0.0,0.0,4.75,0.09,0.0,62.4,0.0,0.0
Agave,18.13,0.11,0.04,4.34,1.09,2.47,54.9,0.3,1.37,31.77,0.15,0.0
Agutuk,36.03,1.14,3.13,0.83,0.02,0.0,0.8,0.17,4.67,16.8,0.17,4.17
Alcoholic Beverage,13.22,0.02,0.04,0.68,0.0,0.34,0.28,0.01,1.88,2.1,0.05,0.09
Alfalfa Seeds,2.3,0.4,0.07,0.21,0.19,0.02,3.2,0.1,0.6,7.9,0.82,0.0
Allspice,26.3,0.61,0.87,7.21,2.16,0.0,66.1,0.71,7.7,104.4,3.92,0.0
Almond Butter,63.3,1.51,5.91,2.12,0.37,0.25,27.0,0.37,23.05,75.8,0.07,0.0
Almonds,59.72,2.11,5.28,2.03,1.14,0.4,26.55,0.38,13.97,68.95,0.01,0.0
Amaranth,37.1,1.36,0.7,6.52,0.67,0.17,15.9,0.76,0.4,50.8,0.42,0.0
Amaranth Grain,10.2,0.38,0.16,1.87,0.21,0.0,4.7,0.21,0.6,13.5,0.0,0.0
Amaranth Leaves,2.17,0.22,0.02,0.41,0.0,0.0,21.1,0.23,9.93,63.1,4.18,0.0
Anchovy,17.05,2.46,0.73,0.0,0.0,0.0,18.95,0.39,188.6,46.35,0.0,7.25
Animal Fat,89.6,0.0,9.95,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,9.5
Apple Cider-Flavored Drk,19.8,0.0,0.0,4.96,0.01,4.05,23.8,0.0,5.45,0.35,19.4,0.0
Apple Juc,8.63,0.02,0.02,2.13,0.02,1.8,1.13,0.04,1.2,22.5,2.6,0.0
Apples,9.55,0.04,0.03,2.52,0.34,1.73,0.62,0.05,2.24,16.14,0.14,0.0
Applesauce,5.7,0.02,0.01,1.5,0.12,0.84,0.38,0.02,0.85,7.1,0.64,0.0
Apricot Nectar,5.6,0.04,0.01,1.44,0.06,0.69,0.7,0.04,0.3,11.4,2.75,0.0
Apricots,9.91,0.13,0.02,2.55,0.21,0.94,1.76,0.12,0.6,40.09,0.42,0.0
Archway Home Style Cookies,41.97,0.57,1.54,6.7,0.22,2.9,2.62,0.23,37.42,15.98,0.0,0.98
Arrowhead,8.5,0.48,0.02,1.75,0.0,0.0,0.8,0.17,9.8,89.47,0.06,0.0
Arrowroot,6.5,0.42,0.02,1.34,0.13,0.0,0.6,0.22,2.6,45.4,0.19,0.0
Artichokes,4.68,0.3,0.04,1.01,0.6,0.08,2.45,0.07,10.05,28.63,0.7,0.0
Artificial Blueberry Muffin Mix,40.7,0.47,0.87,7.74,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0
Arugula,2.5,0.26,0.07,0.36,0.16,0.2,16.0,0.15,2.7,36.9,1.5,0.0
Asparagus,1.92,0.24,0.03,0.3,0.16,0.08,1.97,0.1,12.27,19.59,1.7,0.0
Avocados,14.9,0.21,1.34,0.83,0.64,0.11,1.17,0.04,0.57,44.77,1.21,0.0
Babyfood,9.83,0.32,0.2,1.73,0.13,0.54,7.29,0.4,5.72,15.1,1.33,0.72
Bacon,31.0,1.07,2.95,0.63,0.26,0.0,2.3,0.24,146.5,17.0,0.0,0.0
Bacon Bits,47.6,3.2,2.59,2.86,1.02,0.0,10.1,0.07,177.0,14.5,0.19,0.0
Bagel,25.7,1.0,0.16,5.05,0.22,0.51,8.9,0.6,44.8,7.5,0.1,0.0
Bagels,27.66,1.05,0.17,5.48,0.25,0.25,3.41,0.32,47.02,11.02,0.03,0.3
Baked Bns,10.5,0.48,0.04,2.05,0.55,0.78,5.0,0.03,0.1,29.6,0.31,0.0
Baking Choc,48.36,0.76,3.3,5.51,0.96,3.72,6.78,0.56,2.18,47.86,0.01,0.36
Balsam-Pear (Bitter Gourd),2.52,0.25,0.03,0.47,0.18,0.1,3.42,0.09,8.77,45.77,5.82,0.0
Bamboo Shoots,1.72,0.18,0.03,0.3,0.14,0.12,1.12,0.03,6.38,41.98,0.13,0.0
Bananas,21.75,0.25,0.11,5.56,0.62,2.98,1.35,0.07,0.2,92.45,0.78,0.0
Banquet Chick Pot Pie,19.2,0.56,1.08,1.8,0.17,0.28,1.5,0.05,42.5,0.0,0.0,1.5
Banquet Gry & Salury Stk W/ Mshd Pot & Corn In Seasonsau,12.6,0.56,0.71,0.99,0.15,0.09,2.1,0.05,38.5,0.0,0.0,1.1
Banquet Hearty One Stk Din,13.8,0.51,0.87,0.99,0.21,0.13,1.8,0.07,50.5,0.0,0.0,1.4
Banquet Orig Fried Chk Thigh,17.0,0.96,0.87,1.34,0.18,0.03,5.9,0.07,26.5,0.0,0.12,3.0
Banquet Slced Bf W/Gry,8.8,0.88,0.3,0.65,0.16,0.14,1.7,0.1,31.6,0.0,0.26,1.9
Banquet Tky & Gry W/Dress,9.9,0.59,0.35,1.09,0.31,0.19,2.2,0.07,40.1,0.0,0.28,1.4
Barbecue Loaf,17.3,1.58,0.89,0.64,0.0,0.0,5.5,0.12,133.4,32.9,0.0,3.7
Barley,27.63,0.82,0.13,5.98,1.22,0.06,2.43,0.25,0.8,27.5,0.0,0.0
Basil,2.3,0.32,0.06,0.26,0.16,0.03,17.7,0.32,0.4,29.5,1.8,0.0
Bass,12.02,2.09,0.34,0.0,0.0,0.0,5.42,0.13,7.92,34.9,0.1,8.45
Beans,12.96,0.81,0.07,2.38,0.72,0.08,5.89,0.25,13.85,46.9,0.43,0.05
Bear,14.25,2.28,0.57,0.0,0.0,0.0,0.85,0.66,0.0,2.0,0.1,0.0
Beechnuts,57.6,0.62,5.0,3.35,0.0,0.0,0.1,0.25,3.8,101.7,1.55,0.0
Beef,22.52,2.48,1.32,0.01,0.0,0.0,1.43,0.25,9.45,30.7,0.08,9.73
Beef Broth&Tomato Juc,3.7,0.06,0.01,0.85,0.01,0.0,1.1,0.06,13.1,9.6,0.09,0.0
Beef Jerky,41.0,3.32,2.56,1.1,0.18,0.9,2.0,0.54,221.3,59.7,0.0,4.8
Beef Pot Pie,22.0,0.72,1.14,2.2,0.08,0.0,1.4,0.12,36.5,11.5,0.03,2.1
Beef Sausage,36.85,1.69,3.28,0.02,0.0,0.0,1.3,0.16,78.1,24.6,0.03,8.25
Beef Stew,9.5,0.49,0.54,0.68,0.15,0.1,1.2,0.07,40.8,17.4,0.44,1.6
Beerwurst,25.75,1.41,2.07,0.29,0.04,0.0,1.75,0.12,98.6,24.85,0.03,6.05
Beet Greens,2.2,0.22,0.01,0.43,0.37,0.05,11.7,0.26,22.6,76.2,3.0,0.0
Beet Grns,2.7,0.26,0.02,0.55,0.29,0.06,11.4,0.19,35.9,90.9,2.49,0.0
Beets,4.47,0.11,0.01,1.06,0.2,0.5,1.45,0.08,15.3,21.2,0.33,0.0
Betty Crocker,39.5,1.1,1.04,6.43,0.0,0.0,0.0,0.0,203.0,0.0,0.0,0.9
Beverage,34.8,2.64,0.3,5.34,0.13,5.2,55.5,0.76,62.73,161.73,7.2,2.33
Bf,17.71,2.49,0.79,0.0,0.0,0.0,0.64,0.25,6.04,35.06,0.0,7.42
Biscuit,32.2,0.67,1.36,4.33,0.07,0.74,5.1,0.25,99.9,16.2,0.0,0.1
Biscuits,33.16,0.71,1.13,5.02,0.14,0.51,9.44,0.28,103.9,20.91,0.01,0.14
Bison,16.25,2.28,0.79,0.0,0.0,0.0,1.25,0.3,7.3,34.05,0.0,6.3
Blackberries,6.28,0.12,0.05,1.46,0.42,0.97,2.1,0.06,0.28,11.9,0.79,0.0
Blackberry Juc,3.8,0.03,0.06,0.78,0.01,0.77,1.2,0.05,0.1,13.5,1.13,0.0
Blueberries,6.98,0.06,0.03,1.76,0.26,1.13,1.06,0.07,0.21,5.27,0.41,0.0
Bluefish,14.15,2.29,0.48,0.0,0.0,0.0,0.8,0.06,6.85,42.45,0.0,6.75
Bologna,27.58,1.19,2.33,0.42,0.0,0.06,6.46,0.1,107.12,21.22,0.82,6.35
Borage,2.37,0.2,0.08,0.34,0.0,0.0,9.9,0.35,16.4,48.4,3.33,0.0
Boysenberries,6.9,0.1,0.02,1.72,0.4,0.34,2.25,0.06,0.2,11.45,0.46,0.0
Bratwurst,25.45,1.66,1.98,0.14,0.0,0.0,1.95,0.07,45.9,27.95,0.1,7.25
Braunschweiger (A Liver Sausage),32.7,1.45,2.85,0.31,0.0,0.0,0.9,1.12,116.0,19.9,0.0,18.0
Brazilnuts,65.6,1.43,6.64,1.23,0.75,0.23,16.0,0.24,0.3,65.9,0.07,0.0
Bread,27.22,0.93,0.43,5.01,0.47,0.36,8.27,0.3,51.66,18.47,0.01,0.51
Bread Crumbs,38.9,1.37,0.54,7.02,0.47,0.6,18.25,0.49,124.55,21.35,0.14,0.05
Bread Sticks,41.2,1.2,0.95,6.84,0.3,0.13,2.2,0.43,65.7,12.4,0.0,0.0
Bread Stuffing,28.28,0.68,0.62,4.91,0.58,0.48,5.82,0.23,96.78,14.65,0.11,0.02
Breadfruit,10.3,0.11,0.02,2.71,0.49,1.1,1.7,0.05,0.2,49.0,2.9,0.0
Breadfruit Seeds,18.87,0.63,0.35,3.38,0.53,0.0,6.1,0.17,2.53,96.6,0.68,0.0
Breadnuttree Seeds,29.2,0.73,0.13,6.28,0.74,0.0,9.6,0.33,4.2,159.7,3.7,0.0
Breakfast Bar,37.7,0.44,0.75,7.29,0.21,3.51,4.1,0.49,16.7,19.7,0.0,0.0
Breakfast Bars,46.4,0.98,1.76,6.67,0.31,2.75,6.0,0.32,27.8,32.6,0.1,0.0
Breakfast Burrito,21.4,0.97,0.7,2.81,0.14,0.0,0.0,0.32,40.9,0.0,0.0,19.4
Breakfast Items,31.2,1.11,2.08,2.1,0.02,0.09,5.1,0.19,67.2,14.9,0.0,16.1
Breakfast Tart,37.2,0.4,0.6,7.68,0.15,0.49,4.4,0.34,25.2,6.6,0.38,0.0
Breakfast Type Drk,0.4,0.0,0.0,0.09,0.0,0.0,1.1,0.0,0.5,3.3,2.51,0.0
Broadbeans,6.53,0.51,0.05,1.06,0.26,0.0,1.93,0.16,12.27,21.2,2.42,0.0
Broadbeans (Fava Beans),34.1,2.61,0.15,5.83,2.5,0.57,10.3,0.67,1.3,106.2,0.14,0.0
Broadbeans (Fava Bns),9.7,0.69,0.03,1.72,0.48,0.12,3.27,0.13,23.3,25.93,0.08,0.0
Broccoli,2.9,0.28,0.03,0.55,0.23,0.11,4.89,0.07,7.85,24.95,6.25,0.0
Broccoli Raab,2.75,0.35,0.05,0.3,0.28,0.05,11.3,0.17,4.45,26.95,2.86,0.0
Brotwurst,32.3,1.43,2.78,0.29,0.0,0.3,4.8,0.1,111.2,28.1,0.0,6.3
Brussels Sprouts,4.0,0.33,0.04,0.79,0.35,0.16,3.2,0.09,5.72,32.88,6.24,0.0
Buckwheat Flr,33.5,1.26,0.31,7.06,1.0,0.26,4.1,0.41,1.1,57.7,0.0,0.0
Buckwheat Groats,21.9,0.76,0.17,4.74,0.65,0.04,1.2,0.16,0.75,20.4,0.0,0.0
Buffalo,14.6,3.25,0.18,0.0,0.0,0.0,0.4,0.38,4.1,37.6,0.0,8.2
Bulgur,21.25,0.77,0.08,4.72,1.14,0.03,2.25,0.17,1.1,23.9,0.0,0.0
Burbot,10.25,2.2,0.09,0.0,0.0,0.0,5.7,0.1,11.05,46.1,0.0,6.85
Burdock Root,8.27,0.19,0.01,1.99,0.23,0.33,4.63,0.08,8.3,34.27,0.27,0.0
Burger King,28.66,1.06,1.64,2.4,0.16,0.4,7.46,0.23,50.45,21.27,0.03,4.27
Burrito,25.2,0.79,0.87,3.56,0.79,0.19,4.58,0.31,57.38,24.55,0.02,0.5
Butcher Boy Meats,23.9,1.34,1.82,0.47,0.02,0.25,14.8,0.18,116.2,18.9,0.08,10.4
Butter,63.18,0.18,7.07,0.0,0.0,0.0,3.36,0.05,38.0,4.32,0.0,17.22
Butter Oil,87.6,0.03,9.95,0.0,0.0,0.0,0.4,0.0,0.2,0.5,0.0,25.6
Butter Replcmnt,37.3,0.2,0.1,8.9,0.0,0.53,2.3,0.2,120.0,0.2,0.0,0.2
Butter-Margarine Blend,71.8,0.09,8.07,0.06,0.0,0.0,2.8,0.01,2.8,3.7,0.01,8.8
Butterbur,0.82,0.02,0.01,0.21,0.0,0.0,6.38,0.02,6.38,34.38,2.03,0.0
Butterfish,16.65,1.97,0.91,0.0,0.0,0.0,2.5,0.06,10.15,42.8,0.0,7.4
Butternuts,61.2,2.49,5.7,1.2,0.47,0.0,5.3,0.4,0.1,42.1,0.32,0.0
Cabbage,2.17,0.14,0.01,0.47,0.2,0.14,5.15,0.05,12.82,26.44,2.66,0.0
Cake,36.65,0.46,1.05,6.51,0.12,2.18,9.26,0.16,47.37,13.91,0.05,2.72
Campbel,8.2,0.2,0.37,1.02,0.16,0.61,4.1,0.02,36.3,0.0,0.0,1.0
Campbel Company,8.5,0.15,0.27,1.38,0.23,0.92,1.5,0.03,40.8,35.4,0.0,0.0
Campbell,7.88,0.28,0.23,1.18,0.17,0.26,1.16,0.03,48.7,6.69,0.07,0.46
Campbell Company,6.05,0.22,0.16,0.87,0.08,0.12,1.2,0.02,62.48,0.0,0.0,0.6
Campbell Soup,8.1,0.22,0.23,1.27,0.21,0.68,2.32,0.05,47.76,21.56,0.15,0.32
Campbell Soup Co,18.8,0.0,0.0,5.63,1.88,1.88,0.0,0.68,806.8,0.0,4.5,0.0
Campbell Soup Co.,12.3,0.38,0.19,2.31,0.62,1.0,3.1,0.11,36.2,0.0,0.0,0.2
Campbell Soup Comp,5.2,0.24,0.14,0.77,0.16,0.38,1.3,0.02,37.03,9.73,0.08,0.4
Campbell Soup Company,4.37,0.14,0.09,0.74,0.09,0.38,1.16,0.02,37.63,6.18,0.88,0.24
Campbell Soups,5.3,0.33,0.1,0.82,0.12,0.16,1.6,0.03,19.6,24.9,0.24,0.6
Campbell Supper Bakes Meal Kits,21.0,0.43,0.11,4.57,0.21,0.32,0.0,0.0,83.0,0.0,0.0,0.5
Campbell'S Chnky,4.5,0.29,0.12,0.61,0.04,0.08,0.8,0.03,19.6,28.6,0.1,0.8
Campbell'S Chnky Soups,7.8,0.61,0.1,1.1,0.33,0.37,2.4,0.07,35.9,0.0,0.1,0.6
Campbell'S Chunky Microwavable Bwls,7.8,0.33,0.37,0.74,0.12,0.08,0.8,0.0,36.3,0.0,0.0,1.0
Campbell'S Chunky Soups,6.25,0.35,0.17,0.83,0.15,0.19,1.09,0.04,34.56,0.0,0.02,0.58
Campbell'S Red & White,7.05,0.28,0.18,1.08,0.14,0.21,0.84,0.04,58.78,2.12,0.01,0.53
Campbell'S Red & White - Mcrwveable Bowls,4.7,0.14,0.14,0.71,0.08,0.33,0.8,0.02,33.05,0.0,0.12,0.4
Campbell'S Red & White - Microwaveable Bowls,3.6,0.14,0.02,0.72,0.09,0.29,0.53,0.02,33.6,0.0,0.08,0.2
Campbell'S Red&White,5.6,0.16,0.16,0.81,0.16,0.08,1.6,0.0,56.5,0.0,0.0,0.4
Campbell'S Sel Gold Label Soups,4.27,0.11,0.09,0.75,0.12,0.27,1.33,0.02,32.93,0.0,0.05,0.27
Campbell'S Sel Mcrwvable Bowls,4.32,0.29,0.07,0.62,0.09,0.11,1.6,0.01,36.82,0.0,0.0,0.52
Campbell'S Sel Mcrwvable Bwls,5.3,0.29,0.25,0.61,0.08,0.2,1.6,0.04,35.5,0.0,0.0,0.6
Campbell'S Sel Microwaveable Bowls,3.9,0.16,0.02,0.78,0.16,0.2,1.6,0.04,36.7,0.0,0.0,0.2
Campbell'S Sel Soup,5.26,0.3,0.11,0.78,0.11,0.12,1.27,0.03,33.84,0.0,0.01,0.42
Campbell'S Soup At Hand,3.86,0.11,0.15,0.54,0.12,0.17,0.61,0.01,29.51,0.0,0.21,0.22
Candies,46.94,0.55,2.12,6.71,0.29,5.27,11.15,0.13,11.52,19.97,0.53,0.89
Capers,2.3,0.24,0.09,0.49,0.32,0.04,4.0,0.17,296.4,4.0,0.43,0.0
Carambola,3.1,0.1,0.03,0.67,0.28,0.4,0.3,0.01,0.2,13.3,3.44,0.0
Carb Bev,0.1,0.01,0.0,0.01,0.0,0.0,0.35,0.01,0.7,0.5,0.0,0.0
Carbonated Bev,2.92,0.0,0.0,0.75,0.0,0.56,0.32,0.01,1.41,0.46,0.0,0.0
Cardoon,1.97,0.07,0.01,0.47,0.17,0.0,7.13,0.07,25.27,39.47,0.18,0.0
Caribou,30.6,2.58,2.21,0.1,0.0,0.0,0.89,0.77,19.89,26.29,0.0,5.51
Carissa,6.2,0.05,0.13,1.36,0.0,0.0,1.1,0.13,0.3,26.0,3.8,0.0
Carl Buddig,15.38,1.85,0.84,0.1,0.0,0.0,4.62,0.2,124.08,32.26,0.0,5.94
Carl Buddig. Ckd Smoked Bf Pastrami,14.1,1.96,0.65,0.1,0.0,0.0,1.7,0.25,105.6,36.5,0.0,6.5
Carob-Flavor Bev Mix,22.35,0.25,0.17,5.1,0.42,0.0,6.5,0.24,7.45,11.75,0.0,0.5
Carp,14.45,2.03,0.64,0.0,0.0,0.0,4.65,0.14,5.6,38.0,0.16,7.5
Carrot,34.1,0.81,0.15,7.96,2.36,3.88,21.2,0.39,27.5,254.0,1.46,0.0
Carrot Juice,4.0,0.1,0.02,0.93,0.08,0.39,2.4,0.05,2.9,29.2,0.85,0.0
Carrots,3.2,0.07,0.03,0.72,0.26,0.36,3.12,0.05,13.52,21.23,0.29,0.0
Cashew Butter,58.7,1.76,4.94,2.76,0.2,0.25,4.3,0.5,31.45,54.6,0.0,0.0
Cashew Nuts,57.72,1.61,4.71,3.14,0.31,0.5,4.4,0.6,24.42,59.85,0.02,0.0
Cassava,16.0,0.14,0.03,3.81,0.18,0.17,1.6,0.03,1.4,27.1,2.06,0.0
Catfish,14.32,1.74,0.69,0.16,0.01,0.0,1.74,0.07,10.12,34.74,0.06,6.44
Catsup,9.7,0.17,0.03,2.51,0.03,2.28,1.8,0.05,2.0,38.2,1.51,0.0
Cattail,2.5,0.12,0.0,0.51,0.45,0.02,5.4,0.09,10.9,30.9,0.07,0.0
Cauliflower,2.51,0.22,0.03,0.49,0.27,0.15,2.3,0.05,9.87,21.27,5.33,0.0
Caviar,25.2,2.46,1.79,0.4,0.0,0.0,27.5,1.19,150.0,18.1,0.0,58.8
Celeriac,3.2,0.11,0.02,0.7,0.1,0.05,3.17,0.05,15.27,21.53,0.51,0.0
Celery,1.73,0.08,0.02,0.37,0.16,0.22,4.13,0.03,16.6,27.6,0.51,0.0
Celery Flakes,31.9,1.13,0.21,6.37,2.78,3.59,58.7,0.78,143.5,438.8,8.65,0.0
Celtuce,1.8,0.08,0.03,0.36,0.17,0.0,3.9,0.06,1.1,33.0,1.95,0.0
Cereal Rte,38.8,0.71,0.35,8.6,0.73,0.91,2.8,0.12,1.2,23.8,0.0,0.0
Cereal Wafer Straws,43.87,0.57,1.15,7.8,0.05,3.92,1.3,0.05,4.97,8.33,0.0,0.33
Cereals,21.71,0.62,0.22,4.48,0.41,0.75,11.29,0.78,24.49,17.47,0.28,0.01
Cereals (Ready-to-Eat),37.73,0.83,0.42,8.12,0.7,2.6,15.0,1.72,47.23,29.35,1.99,0.01
Cereals Ready To Eat,38.85,0.47,0.2,8.8,0.18,4.3,22.0,1.47,59.05,9.9,3.62,0.0
Cerls,26.52,0.67,0.35,5.4,0.38,1.22,11.2,1.45,83.7,15.22,0.0,0.0
Chard,1.97,0.19,0.01,0.4,0.19,0.11,5.57,0.21,26.9,49.23,2.2,0.0
Chayote,2.17,0.07,0.04,0.47,0.24,0.06,1.43,0.03,8.0,15.7,0.79,0.0
Cheese,29.15,2.19,2.09,0.37,0.0,0.16,59.09,0.05,69.77,14.04,0.02,6.94
Cheese Fd,32.8,1.99,2.46,0.7,0.0,0.37,59.1,0.07,134.48,30.42,0.0,7.25
Cheese Food,13.7,2.24,0.13,0.88,0.0,0.82,55.2,0.09,123.9,33.6,0.0,0.6
Cheese Product,24.0,1.76,1.41,1.06,0.0,0.8,52.9,0.02,158.7,33.0,0.0,5.3
Cheese Puffs&Twists,43.2,0.85,1.21,7.24,1.07,0.73,35.7,0.13,128.5,28.6,2.14,0.1
Cheese Sau,19.7,1.03,1.49,0.55,0.01,0.0,31.1,0.03,49.3,14.2,0.06,3.8
Cheese Sprd,29.17,1.33,2.37,0.7,0.0,0.36,39.83,0.06,121.43,19.87,0.0,6.67
Cheese Sub,24.8,1.15,1.22,2.37,0.0,2.37,61.0,0.04,68.5,45.5,0.01,0.0
Cheesecake Prep From Mix,27.4,0.55,1.27,3.55,0.19,0.0,17.2,0.05,38.0,21.1,0.05,2.9
Cheesefurter,32.8,1.41,2.9,0.15,0.0,0.15,5.8,0.11,108.2,20.6,0.0,6.8
Chef Boyardee Beefaroni,9.2,0.33,0.27,1.36,0.05,0.19,1.1,0.07,37.3,0.0,0.0,0.3
Chef Boyardee Bf Ravioli In Tomato & Meat Sau,9.2,0.33,0.27,1.36,0.05,0.19,1.1,0.07,37.3,0.0,0.0,0.3
Chef Boyardee Mini Ravioli,9.2,0.33,0.32,1.24,0.1,0.19,1.2,0.1,37.1,0.0,0.0,0.3
Chef Boyardee Spaghetti & Meatballs In Tomato Sau,10.0,0.44,0.39,1.19,0.14,0.3,1.1,0.08,36.0,0.0,0.06,0.7
Cherimoya,7.4,0.16,0.06,1.77,0.23,0.0,0.8,0.03,0.4,26.9,1.15,0.0
Cherries,7.14,0.08,0.02,1.81,0.15,1.08,1.12,0.07,0.35,13.86,0.34,0.0
Chervil,23.7,2.32,0.39,4.91,1.13,0.0,134.6,3.2,8.3,474.0,5.0,0.0
Chestnuts,23.41,0.36,0.16,5.11,0.18,0.08,3.42,0.16,1.39,56.32,3.2,0.0
Chewing Gum,26.8,0.0,0.04,9.48,0.24,0.0,2.0,0.0,0.7,0.0,0.0,0.0
Chia Seeds,49.0,1.56,3.08,4.38,3.77,0.0,63.1,0.0,1.9,16.0,0.0,0.0
Chick,21.5,1.94,1.46,0.02,0.0,0.0,8.8,0.09,6.7,3.1,0.0,8.4
Chicken,21.84,2.38,1.24,0.14,0.01,0.0,1.57,0.19,13.88,21.5,0.13,11.29
Chicken Breast Tenders,26.93,1.56,1.54,1.65,0.08,0.03,1.7,0.11,45.13,21.9,0.03,4.33
Chicken Nuggets,28.6,1.46,1.89,1.42,0.22,0.0,2.65,0.11,49.05,25.7,0.0,3.95
Chicken Patty,28.95,1.46,1.98,1.32,0.08,0.0,1.95,0.09,52.5,25.45,0.0,4.4
Chicken Pot Pie,21.4,0.61,1.08,2.3,0.12,0.0,2.9,0.11,38.0,12.4,0.03,2.4
Chickpeas,16.4,0.89,0.26,2.74,0.76,0.48,4.9,0.29,24.3,29.1,0.13,0.0
Chickpeas (Garbanzo Bns,24.15,1.21,0.36,4.16,1.09,0.53,6.85,0.38,16.15,52.35,0.39,0.0
Chicory,1.7,0.09,0.01,0.4,0.31,0.0,1.9,0.02,0.2,21.1,0.28,0.0
Chicory Greens,2.3,0.17,0.03,0.47,0.4,0.07,10.0,0.09,4.5,42.0,2.4,0.0
Chicory Roots,7.3,0.14,0.02,1.75,0.0,0.0,4.1,0.08,5.0,29.0,0.5,0.0
Child Formula,22.33,0.76,1.04,2.48,0.0,2.4,20.7,0.4,11.6,27.77,1.84,0.23
Chili,11.8,0.75,0.71,0.61,0.0,0.0,3.0,0.2,38.9,18.5,0.18,2.1
Chili Con Carne W/Bns,12.1,0.71,0.53,1.14,0.39,0.0,3.8,0.26,42.4,27.4,0.14,1.3
Chili With Beans,11.2,0.57,0.55,1.19,0.44,0.12,4.7,0.34,52.2,36.5,0.17,1.7
Chiton,8.3,1.71,0.16,0.0,0.0,0.0,12.1,1.6,0.0,0.0,0.0,0.0
Chives,17.05,1.22,0.21,3.43,1.44,0.09,45.25,1.08,3.65,162.8,35.9,0.0
Choc-Flv Bev Mix For Milk,8.8,0.33,0.32,1.16,0.0,1.16,13.0,0.0,5.1,14.5,0.23,1.0
Chocolate Syrup,9.0,0.31,0.3,1.28,0.03,1.13,8.9,0.03,4.7,14.5,0.0,0.9
Chocolate-Flavor Bev Mix,8.5,0.32,0.32,1.19,0.04,1.21,9.5,0.03,5.8,17.2,0.01,0.9
Chocolate-Flavor Bev Mix For Milk,40.25,0.39,0.27,9.06,0.47,8.28,24.6,0.16,17.3,43.55,1.4,0.0
Chocolate-Flavored Drk,4.9,0.06,0.04,1.07,0.06,0.87,10.0,0.03,9.1,7.9,0.2,0.0
Chokecherries,15.9,0.3,0.13,3.38,1.85,1.18,5.0,0.05,0.35,34.4,0.31,0.0
Chorizo,45.5,2.41,3.83,0.19,0.0,0.0,0.8,0.16,123.5,39.8,0.0,8.8
Chrysanthemum,2.13,0.22,0.02,0.39,0.25,0.13,8.5,0.33,15.33,56.83,1.64,0.0
Chrysanthemum Leaves,2.4,0.34,0.06,0.3,0.3,0.0,11.7,0.23,11.8,56.7,0.14,0.0
Cinnamon,24.7,0.4,0.12,8.06,5.31,0.22,100.2,0.83,1.0,43.1,0.38,0.0
Cinnamon Swirl French Toast W/Sausage,26.6,0.84,1.49,2.45,0.15,0.0,0.0,0.16,32.2,0.0,0.0,6.3
Cisco,13.75,1.77,0.69,0.0,0.0,0.0,1.9,0.04,26.8,32.35,0.0,4.1
Citrus Fruit Juc Drk,10.4,0.08,0.01,2.58,0.02,1.84,1.7,0.25,0.35,25.25,6.12,0.0
Clam,11.48,1.57,0.32,0.47,0.0,0.0,6.12,1.68,17.18,40.9,1.36,4.64
Clam&Tomato Juc,4.8,0.06,0.02,1.1,0.04,0.33,0.8,0.02,36.2,8.9,0.5,0.0
Clementines,4.7,0.08,0.02,1.2,0.17,0.92,3.0,0.01,0.1,17.7,4.88,0.0
Cloudberries,5.1,0.24,0.08,0.86,0.0,0.0,1.8,0.07,0.0,0.0,15.8,0.0
Cloves,32.3,0.6,2.01,6.12,3.42,0.24,64.6,0.87,24.3,110.2,8.08,0.0
Cls,11.9,0.23,0.22,2.25,0.17,1.16,6.7,0.24,15.0,6.5,0.0,0.0
Cockles,7.9,1.35,0.07,0.47,0.0,0.0,3.0,1.62,0.0,0.0,0.0,0.0
Cocktail Mix,28.7,0.01,0.0,7.16,0.0,4.84,0.2,0.0,0.0,2.3,0.42,0.0
Cocoa,28.84,1.83,1.68,5.4,2.93,0.13,9.66,1.89,1.6,162.32,0.0,0.0
Cocoa Mix,28.83,0.79,0.58,5.44,0.3,4.22,34.26,0.22,54.69,91.8,0.0,0.16
Coconut Crm,33.0,0.36,3.47,0.66,0.22,0.0,1.1,0.23,0.4,32.5,0.28,0.0
Coconut Meat,52.71,0.43,4.42,3.5,0.63,1.34,1.9,0.25,9.97,43.23,0.12,0.0
Coconut Milk,20.97,0.2,2.2,0.46,0.07,0.11,1.27,0.19,1.33,23.83,0.16,0.0
Cod,12.82,2.78,0.1,0.0,0.0,0.0,3.78,0.07,125.65,59.38,0.21,6.48
Coffee,20.23,0.42,0.5,3.44,0.03,1.52,6.69,0.12,15.29,122.38,0.01,0.01
