ingredient,calories_kcal,protein_g,fat_g,carbs_g,fiber_g,sugar_g,calcium_mg,iron_mg,sodium_mg,potassium_mg,vitamin_c_mg,cholesterol_mg
Sauerkraut,2.05,0.09,0.01,0.43,0.27,0.18,3.0,0.15,48.45,17.0,1.47,0.0
Sausage,29.88,1.55,2.48,0.33,0.05,0.01,2.25,0.15,95.43,20.12,0.04,5.8
Savory,27.2,0.67,0.59,6.87,4.57,0.0,213.2,3.79,2.4,105.1,5.0,0.0
Scallop,12.85,1.77,0.34,0.58,0.0,0.0,4.72,0.11,42.12,30.85,0.13,4.22
Scrambled Eggs&Sausage W/Hashed Brown Potatoes,20.4,0.71,1.52,0.97,0.08,0.0,0.0,0.09,43.6,0.0,0.0,16.0
Scrapple,21.3,0.81,1.39,1.41,0.03,0.02,0.7,0.19,65.9,15.8,0.25,4.9
Scup,12.0,2.15,0.31,0.0,0.0,0.0,4.55,0.06,4.8,32.75,0.0,5.95
Sea Bass,11.05,2.1,0.23,0.0,0.0,0.0,1.15,0.03,7.75,29.2,0.0,4.7
Sea Cucumber,5.6,1.3,0.04,0.0,0.0,0.0,3.0,0.06,0.0,0.0,0.0,0.0
Sea Lion,25.73,1.78,2.01,0.13,0.0,0.0,0.53,0.73,9.6,26.92,0.0,16.23
Seal,21.5,3.53,0.82,0.0,0.0,0.0,0.7,1.99,8.34,31.4,0.0,7.5
Seatrout,11.85,1.91,0.41,0.0,0.0,0.0,1.95,0.03,6.6,38.9,0.0,9.45
Seaweed,10.25,1.03,0.13,1.88,0.19,0.11,15.89,0.88,30.96,42.49,0.74,0.0
Seeds,53.4,1.83,4.22,2.89,2.73,0.15,25.5,0.57,3.0,81.3,0.06,0.0
Semolina,36.0,1.27,0.11,7.28,0.39,0.0,1.7,0.28,0.1,18.6,0.0,0.0
Sesame Butter,59.0,1.76,5.24,2.22,0.76,0.01,41.76,0.83,4.74,46.56,0.08,0.0
